age,age_group
-2,0-14 ปี
0,0-14 ปี
1,0-14 ปี
2,0-14 ปี
3,0-14 ปี
4,0-14 ปี
5,0-14 ปี
6,0-14 ปี
7,0-14 ปี
8,0-14 ปี
9,0-14 ปี
10,0-14 ปี
11,0-14 ปี
12,0-14 ปี
13,0-14 ปี
14,0-14 ปี
15,15-29 ปี
16,15-29 ปี
17,15-29 ปี
18,15-29 ปี
19,15-29 ปี
20,15-29 ปี
21,15-29 ปี
22,15-29 ปี
23,15-29 ปี
24,15-29 ปี
25,15-29 ปี
26,15-29 ปี
27,15-29 ปี
28,15-29 ปี
29,15-29 ปี
30,30-44 ปี
31,30-44 ปี
32,30-44 ปี
33,30-44 ปี
34,30-44 ปี
35,30-44 ปี
36,30-44 ปี
37,30-44 ปี
38,30-44 ปี
39,30-44 ปี
40,30-44 ปี
41,30-44 ปี
42,30-44 ปี
43,30-44 ปี
44,30-44 ปี
45,45-59 ปี
46,45-59 ปี
47,45-59 ปี
48,45-59 ปี
49,45-59 ปี
50,45-59 ปี
51,45-59 ปี
52,45-59 ปี
53,45-59 ปี
54,45-59 ปี
55,45-59 ปี
56,45-59 ปี
57,45-59 ปี
58,45-59 ปี
59,45-59 ปี
60,60-74 ปี
61,60-74 ปี
62,60-74 ปี
63,60-74 ปี
64,60-74 ปี
65,60-74 ปี
66,60-74 ปี
67,60-74 ปี
68,60-74 ปี
69,60-74 ปี
70,60-74 ปี
71,60-74 ปี
72,60-74 ปี
73,60-74 ปี
74,60-74 ปี
75,75+ ปี
76,75+ ปี
77,75+ ปี
78,75+ ปี
79,75+ ปี
80,75+ ปี
81,75+ ปี
82,75+ ปี
83,75+ ปี
84,75+ ปี
85,75+ ปี
86,75+ ปี
87,75+ ปี
88,75+ ปี
89,75+ ปี
90,75+ ปี
91,75+ ปี
92,75+ ปี
93,75+ ปี
94,75+ ปี
95,75+ ปี
96,75+ ปี
97,75+ ปี
98,75+ ปี
99,75+ ปี
100,75+ ปี
101,75+ ปี
102,75+ ปี
103,75+ ปี
104,75+ ปี
105,75+ ปี
106,75+ ปี
107,75+ ปี
108,75+ ปี
109,75+ ปี
111,75+ ปี
112,75+ ปี
119,75+ ปี
121,75+ ปี
122,75+ ปี
123,75+ ปี
124,75+ ปี
