"risk_id","disease_type","context_type","parameter_type","min_value","max_value","risk_group","risk_color","risk_score","status","created_at","updated_at"
"1","DM","screening","HBA1C","0","5.7","กลุ่มปกติ","⚪️ ขาว","0","active","22/9/2025 13:40:59.766972","22/9/2025 13:40:59.766972"
"2","DM","screening","HBA1C","5.7","6.4","กลุ่ม Pre DM","🟢 เขียวอ่อน","1","active","22/9/2025 13:40:59.766972","22/9/2025 13:40:59.766972"
"3","DM","screening","FBS","0","100","กลุ่มปกติ","⚪️ ขาว","0","active","22/9/2025 13:40:59.766972","22/9/2025 13:40:59.766972"
"4","DM","screening","FBS","100","125","กลุ่ม Pre DM","🟢 เขียวอ่อน","1","active","22/9/2025 13:40:59.766972","22/9/2025 13:40:59.766972"
"5","DM","followup","HBA1C","0","7","ควบคุมได้ดี","🟢 เขียวแก่","2","active","22/9/2025 13:41:06.558968","22/9/2025 13:41:06.558968"
"6","DM","followup","HBA1C","7","7.9","ควบคุมปานกลาง 1","🟡 เหลือง","3","active","22/9/2025 13:41:06.558968","22/9/2025 13:41:06.558968"
"7","DM","followup","HBA1C","8","8.9","ควบคุมปานกลาง 2","🟠 ส้ม","4","active","22/9/2025 13:41:06.558968","22/9/2025 13:41:06.558968"
"8","DM","followup","HBA1C","9",,"ควบคุมไม่ได้","🔴 แดง","5","active","22/9/2025 13:41:06.558968","22/9/2025 13:41:06.558968"
"9","DM","followup","FBS","0","130","ควบคุมได้ดี","🟢 เขียวแก่","2","active","22/9/2025 13:41:06.558968","22/9/2025 13:41:06.558968"
"10","DM","followup","FBS","130","159","ควบคุมปานกลาง 1","🟡 เหลือง","3","active","22/9/2025 13:41:06.558968","22/9/2025 13:41:06.558968"
"11","DM","followup","FBS","160","179","ควบคุมปานกลาง 2","🟠 ส้ม","4","active","22/9/2025 13:41:06.558968","22/9/2025 13:41:06.558968"
"12","DM","followup","FBS","180",,"ควบคุมไม่ได้","🔴 แดง","5","active","22/9/2025 13:41:06.558968","22/9/2025 13:41:06.558968"
"13","HT","screening","BPS","0","120","กลุ่มปกติ","⚪️ ขาว","0","active","22/9/2025 13:41:10.910791","22/9/2025 13:41:10.910791"
"14","HT","screening","BPS","120","139","กลุ่ม Pre HT","🟢 เขียวอ่อน","1","active","22/9/2025 13:41:10.910791","22/9/2025 13:41:10.910791"
"15","HT","screening","BPD","0","80","กลุ่มปกติ","⚪️ ขาว","0","active","22/9/2025 13:41:10.910791","22/9/2025 13:41:10.910791"
"16","HT","screening","BPD","80","89","กลุ่ม Pre HT","🟢 เขียวอ่อน","1","active","22/9/2025 13:41:10.910791","22/9/2025 13:41:10.910791"
"17","HT","followup","BPS","0","140","ควบคุมได้ดี","🟢 เขียวแก่","2","active","22/9/2025 13:41:15.416145","22/9/2025 13:41:15.416145"
"18","HT","followup","BPS","140","159","ควบคุมปานกลาง 1","🟡 เหลือง","3","active","22/9/2025 13:41:15.416145","22/9/2025 13:41:15.416145"
"19","HT","followup","BPS","160","179","ควบคุมปานกลาง 2","🟠 ส้ม","4","active","22/9/2025 13:41:15.416145","22/9/2025 13:41:15.416145"
"20","HT","followup","BPS","180",,"ควบคุมไม่ได้","🔴 แดง","5","active","22/9/2025 13:41:15.416145","22/9/2025 13:41:15.416145"
"21","HT","followup","BPD","0","90","ควบคุมได้ดี","🟢 เขียวแก่","2","active","22/9/2025 13:41:15.416145","22/9/2025 13:41:15.416145"
"22","HT","followup","BPD","90","99","ควบคุมปานกลาง 1","🟡 เหลือง","3","active","22/9/2025 13:41:15.416145","22/9/2025 13:41:15.416145"
"23","HT","followup","BPD","100","109","ควบคุมปานกลาง 2","🟠 ส้ม","4","active","22/9/2025 13:41:15.416145","22/9/2025 13:41:15.416145"
"24","HT","followup","BPD","110",,"ควบคุมไม่ได้","🔴 แดง","5","active","22/9/2025 13:41:15.416145","22/9/2025 13:41:15.416145"
